puzzle,human time,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts,model count
1,489,0.028,33.66,2999,28,1,0,2,0,217
2,150,0.002,50.15,2882,27,1,0,2,0,1
3,371,0.002,50.14,2735,27,1,0,2,0,2
4,692,0.002,50.13,2749,28,1,0,2,0,1
5,179,0.002,50.13,2594,27,1,0,2,0,1
6,343,0.002,50.13,2648,27,1,0,2,0,2
7,50,0.002,50.13,2791,27,1,0,2,0,1
8,369,0.002,50.14,2807,27,1,0,2,0,3
9,780,0.002,50.14,2810,28,2,0,1,0,1
10,504,0.002,50.15,2908,28,1,0,2,0,4
11,297,0.002,50.14,2596,27,1,0,2,0,1
12,266,0.002,50.13,2611,28,2,0,1,0,1
13,309,0.002,50.13,2626,28,1,0,2,0,5
14,784,0.002,50.14,2868,27,1,0,2,0,1
15,327,0.002,50.14,2580,27,1,0,2,0,6
16,79,0.002,50.13,2606,27,1,0,2,0,1
17,398,0.003,50.13,2850,28,1,0,2,0,4
18,298,0.002,50.14,2741,27,1,0,2,0,3
19,420,0.002,50.14,2901,28,1,0,2,0,5
20,376,0.002,50.15,3027,28,1,0,2,0,1
21,600,0.002,50.14,2804,28,2,0,1,0,1
22,480,0.002,50.14,2620,28,1,0,2,0,8
