num_holes,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts
0,0,48.415,92,0,0,0,0,0
1,0,50.064,133,0,0,0,0,0
2,0,50.079,184.6,0,0,0,0,0
3,0.00030000000000000003,50.08,242.1,0,0,0,0,0
4,0.0005,50.08,292.3,0,0,0,0,0
5,0.0004,50.099000000000004,351.9,0,0,0,0,0
6,0.0005,50.1,436.9,0,0,0,0,0
7,0.0022,50.1,612.7,0,0,0,0,0
8,0.0009,50.1,703.6,0,0,0,0,0
9,0.0012000000000000001,50.102000000000004,1254.3,3.4,0.2,0,0.4,0
10,0.0022,50.107,1742.1,11.2,0.5,0,1,0
11,0.0021,50.116,2249.7,22.6,1.1,0,1.9,0
12,0.0021,50.127,2427.5,25.3,0.8,0,1.6,0
