puzzle,human time,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts,model count
1,489,0.002,50.13,2805,28,1,0,2,0,0,217
2,150,0.003,50.15,2694,28,1,0,2,0,0,1
3,371,0.002,50.14,2553,28,1,0,2,0,0,2
4,692,0.002,50.13,2525,27,1,0,2,0,0,1
5,179,0.002,50.13,2404,27,1,0,2,0,0,1
6,343,0.002,50.13,2457,28,2,0,1,0,0,2
7,50,0.002,50.13,2601,27,1,0,2,0,0,1
8,369,0.002,50.14,2617,27,1,0,2,0,0,3
9,780,0.002,50.14,2620,28,2,0,1,0,0,1
10,504,0.002,50.15,2710,28,1,0,2,0,0,4
11,297,0.002,50.14,2406,27,1,0,2,0,0,1
12,266,0.002,50.13,2417,28,2,0,1,0,0,1
13,309,0.002,50.13,2432,28,1,0,2,0,0,5
14,784,0.002,50.14,2670,27,1,0,2,0,0,1
15,327,0.002,50.14,2390,27,1,0,2,0,0,6
16,79,0.002,50.13,2412,27,1,0,2,0,0,1
17,398,0.002,50.13,2652,28,1,0,2,0,0,4
18,298,0.002,50.13,2563,28,1,0,2,0,0,3
19,420,0.002,50.14,2703,28,1,0,2,0,0,5
20,376,0.002,50.15,2833,28,1,0,2,0,0,1
21,600,0.002,50.14,2614,28,2,0,1,0,0,1
22,480,0.002,50.13,2430,28,1,0,2,0,0,8
