puzzle,human time,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts,model count
1,489,0.034,19.01,3095,28,1,0,2,0,0,217
2,150,0.009,19.19,326464,27,1,0,2,0,0,1
3,371,0.009,19.19,334309,28,1,0,2,0,0,2
4,692,0.011,19.19,342782,28,1,0,2,0,0,1
5,179,0.011,19.19,350316,28,1,0,2,0,0,1
6,343,0.008,19.19,357775,28,2,0,1,0,0,2
7,50,0.009,19.19,366166,28,1,0,2,0,0,1
8,369,0.008,19.19,373960,28,1,0,2,0,0,3
9,780,0.008,19.19,383353,28,2,0,1,0,0,1
10,504,0.008,19.19,391256,28,1,0,2,0,0,4
11,297,0.007,19.19,401686,28,2,0,1,0,0,1
12,266,0.007,19.19,409098,28,2,0,1,0,0,1
13,309,0.007,19.19,416495,27,1,0,2,0,0,5
14,784,0.007,19.19,427681,28,2,0,1,0,0,1
15,327,0.007,19.19,435319,28,1,0,2,0,0,6
16,79,0.007,19.19,448251,28,2,0,1,0,0,1
17,398,0.008,19.19,455951,28,1,0,2,0,0,4
18,298,0.008,19.19,466316,27,1,0,2,0,0,3
19,420,0.007,19.19,475705,28,1,0,2,0,0,5
20,376,0.007,19.19,487962,28,1,0,2,0,0,1
21,600,0.007,19.19,495975,28,2,0,1,0,0,1
22,480,0.007,19.19,503554,28,1,0,2,0,0,8
