num_holes,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts,model count
0,0.0066,18.979,506,0,0,0,0,0,0
1,0.0064,18.98,1684.5,0,0,0,0,0,0
2,0.005,18.985,3409,0,0,0,0,0,0
3,0.005,18.988999999999997,5797.1,0,0,0,0,0,0
4,0.0053,18.99,8782.7,0,0,0,0,0,0
5,0.0057,18.99,12455.1,0,0,0,0,0,0
6,0.0054,18.99,17827.2,0,0,0,0,0,0
7,0.005,18.99,23444,0,0,0,0,0,0
8,0.0085,18.996,30736.7,0,0,0,0,0,0
9,0.0077,19.001,41711.5,2.8,0.3,0,0.3,0,0
10,0.0061,19.006,57094.7,8.6,0.4,0,0.8,0,0
11,0.0063,19.02,77454.9,20.8,0.7,0,1.4,0,0
12,0.0063,19.02,101852.5,23.9,0.6,0,1.2,0,0
